24-05-11 18:01:37.312 [main] INFO  c.j.n.NewmongoprojectApplication - Starting NewmongoprojectApplication using Java 17.0.10 with PID 28244 (C:\Users\hassa\OneDrive\Desktop\SpringBoot\newmongoproject\target\classes started by hassa in C:\Users\hassa\OneDrive\Desktop\SpringBoot\newmongoproject) 
24-05-11 18:01:38.785 [main] INFO  org.mongodb.driver.cluster - No server chosen by WritableServerSelector from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
24-05-11 18:01:39.466 [cluster-ClusterId{value='663f25e28684c720e08d9403', description='Cluster0'}-ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=539561300, setName='atlas-3cfruc-shard-0', canonicalAddress=ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, hosts=[ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='mes1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='ME_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=4, topologyVersion=TopologyVersion{processId=663e61fc84cf786b6b31d653, counter=4}, lastWriteDate=Sat May 11 18:01:39 AEST 2024, lastUpdateTimeNanos=336300188198400} 
24-05-11 18:01:39.466 [cluster-ClusterId{value='663f25e28684c720e08d9403', description='Cluster0'}-ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=541393900, setName='atlas-3cfruc-shard-0', canonicalAddress=ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, hosts=[ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='mes1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='ME_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=4, topologyVersion=TopologyVersion{processId=663e6636fca4fd0d40379233, counter=3}, lastWriteDate=Sat May 11 18:01:39 AEST 2024, lastUpdateTimeNanos=336300187981800} 
24-05-11 18:01:39.466 [cluster-ClusterId{value='663f25e28684c720e08d9403', description='Cluster0'}-ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=540018300, setName='atlas-3cfruc-shard-0', canonicalAddress=ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017, hosts=[ac-6s7spt9-shard-00-01.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-00.exzefa4.mongodb.net:27017, ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='mes1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='ME_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000053, setVersion=4, topologyVersion=TopologyVersion{processId=663e64461ed6a620fcc6ae41, counter=6}, lastWriteDate=Sat May 11 18:01:39 AEST 2024, lastUpdateTimeNanos=336300187981700} 
24-05-11 18:01:39.470 [cluster-ClusterId{value='663f25e28684c720e08d9403', description='Cluster0'}-ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-6s7spt9-shard-00-02.exzefa4.mongodb.net:27017 with max election id 7fffffff0000000000000053 and max set version 4 
24-05-11 18:01:41.090 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@502c087e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@49986178, org.springframework.security.web.context.SecurityContextHolderFilter@297bd171, org.springframework.security.web.header.HeaderWriterFilter@1109730f, org.springframework.web.filter.CorsFilter@10bdfbcc, org.springframework.security.web.authentication.logout.LogoutFilter@636dbfe7, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@74cd798f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4cc26df, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7848321e, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@25b74370, org.springframework.security.web.session.SessionManagementFilter@40bf0e15, org.springframework.security.web.access.ExceptionTranslationFilter@194b9783, org.springframework.security.web.access.intercept.AuthorizationFilter@6ace919c] 
24-05-11 18:01:41.205 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"] 
24-05-11 18:01:41.216 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8090 (http) with context path '/journal' 
24-05-11 18:01:41.224 [main] INFO  c.j.n.NewmongoprojectApplication - Started NewmongoprojectApplication in 4.213 seconds (process running for 4.911) 
24-05-11 18:01:53.877 [http-nio-8090-exec-1] INFO  o.a.c.c.C.[.[localhost].[/journal] - Initializing Spring DispatcherServlet 'dispatcherServlet' 
24-05-11 18:01:53.878 [http-nio-8090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet' 
24-05-11 18:01:53.880 [http-nio-8090-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms 
